country,description,designation,points,price,province,region_1,title,variety,winery
France,"This is the second wine of Château de Mercuès, and it has some of the same concentration and tannins as the first wine, without the huge and powerful structure. It will develop its black cherry and spice flavors relatively quickly, to yield a ready-to-drink wine in 2–3 years.",Château de Mercuès Le Vassal de Mercuès,88,16,Southwest France,Cahors,Georges Vigouroux 2010 Château de Mercuès Le Vassal de Mercuès Malbec (Cahors),Malbec,Georges Vigouroux
Italy,"This offers ripe cherry and blackberry notes, followed by bright acidity and a palate that bears medium density. It's a great food wine to pair with breaded veal, sausage or meatloaf.",Elo Veni,88,15,Southern Italy,Salento,Leone de Castris 2010 Elo Veni Negroamaro (Salento),Negroamaro,Leone de Castris
Italy,"This gorgeous Greco di Tufo opens with bright aromas of pear, peach and crushed brimstone. In the mouth, it tastes fresh and fruity. Pair it with crab cakes or Thai vegetable rolls.",,88,25,Southern Italy,Greco di Tufo,Mastroberardino 2011  Greco di Tufo,Greco,Mastroberardino
US,"This best-of-barrels Chardonnay is oaky, offering waves of butterscotch and buttered toast that dominate the tart underlying flavors of pineapple and lime. It's certainly rich and well-structured, but quite oaky.",Intrinity,88,45,California,Santa Lucia Highlands,Pessagno 2010 Intrinity Chardonnay (Santa Lucia Highlands),Chardonnay,Pessagno
US,"Soft, sweet and appealing, this has raspberry and cherry jam flavors, with an oak-influenced note of buttered toast. It's an easy, gentle wine, with some real depth and complexity.",,88,28,California,Santa Lucia Highlands,Pessagno 2010 Pinot Noir (Santa Lucia Highlands),Pinot Noir,Pessagno
Italy,"Plumbago is a pure expression of Nero d'Avola that portrays the natural characteristics of this indigenous Sicilian grape. Red berry, cherry, almond skin and pistachio open the bouquet and give way to zesty freshness on the palate.",Plumbago,88,,Sicily & Sardinia,Sicilia,Planeta 2010 Plumbago Nero d'Avola (Sicilia),Nero d'Avola,Planeta
US,"This smells deep and bass-like, with resonating notes of honeyed white currant, spiced breakfast toast and apricot preserves, accented with touches of caramel and toasted nut. It feels round, rich and opulent, with a nice lift of acids that give the wine some spring.",Richland Reserve,88,22,Virginia,Virginia,Potomac Point 2010 Richland Reserve Chardonnay (Virginia),Chardonnay,Potomac Point
Italy,"This Syrah offers bright tones of leather, cured meat and blackberry. Smooth and long-lasting, the palate boasts loads of bright berries.",Schietto,88,19,Sicily & Sardinia,Sicilia,Principi di Spadafora 2007 Schietto Syrah (Sicilia),Syrah,Principi di Spadafora
US,"An exotic, spicy Pinot Noir, this is medium-bodied and crisp, with complex cranberry, raspberry, red licorice and smoky sandalwood flavors. Drink this dry, silky effort now.",Knittel Vineyard,88,40,California,Carneros,Renteria 2009 Knittel Vineyard Pinot Noir (Carneros),Pinot Noir,Renteria
US,"A blend of Grenache, Syrah, Cinsault and Counoise, this is bone dry and brisk in acidity, with complex flavors of mineral, herb, sour cherry candy, red currant and white pepper. Although production was only 2,000 cases, this wine is worth the search.",Rhône de Robles,88,18,California,Paso Robles,Robert Hall 2011 Rhône de Robles Red (Paso Robles),Rhône-style Red Blend,Robert Hall
France,"For a Morgon, this is relatively light, showing more fruit than structure, with freshness that's tempered by a firm edge and minerality. Keep for a year, or drink now.",Domaine de l'Oseraie,88,14,Beaujolais,Morgon,Signé Vigneron 2011 Domaine de l'Oseraie  (Morgon),Gamay,Signé Vigneron
Spain,"Berry and cherry aromas are surprisingly sturdy and clean. Freshness is maintained on the palate, which is honest enough to offer modest tannic bite. Lightly spiced plum and raspberry flavors change little on an easy finish.",Flirty Bird,85,4,Central Spain,Vino de la Tierra de Castilla,Felix Solis 2013 Flirty Bird Syrah (Vino de la Tierra de Castilla),Syrah,Felix Solis
Spain,"Gritty aromas of stewed berry, lemony oak, green herbs and tin set up a tannic, chewy, highly extracted palate that's lacking in elegance. Flavors of chocolate, green herbs, blueberry, vanilla and plastic finish oaky and creamy, with lasting heat.",,85,13,Levante,Jumilla,Marionette 2012 Monastrell-Syrah (Jumilla),Monastrell-Syrah,Marionette
US,"This is serviceable but rather bland, with a dusting of cinnamon spice and simple, tart fruit.",,85,16,Oregon,Willamette Valley,Wildewood 2013 Chardonnay (Willamette Valley),Chardonnay,Wildewood
France,"A lightly fruity wine that has a soft texture, gentle acidity and a perfumed aftertaste. It is ready to drink with its steely backbone well enmeshed in the fruitiness.",Roi Clovis,85,25,Alsace,Alsace,Wunsch & Mann 2012 Roi Clovis Riesling (Alsace),Riesling,Wunsch & Mann
Argentina,"Initial plum and berry aromas fall off with airing and reveal notes of chemical and chewing gum dust. On the palate, this blend of 60% Malbec and 40% Tannat is chewy, sticky and flat. Modest but sweet berry flavors veer toward molasses prior to finishing without much acidity or verve.",,84,15,Mendoza Province,Uco Valley,Ricominciare 2010 Malbec-Tannat (Uco Valley),Malbec-Tannat,Ricominciare
Argentina,"Aromas of latex, plastic, clove and wild berry fruits try to come together. A hard, high-acid palate is narrow and choppy, with biting tannins, while a salty flavor profile that includes blackberry finishes woody and savory, with a lasting taste of clove.",,84,20,Mendoza Province,Uco Valley,Ricominciare 2011 Malbec-Cabernet Franc (Uco Valley),Malbec-Cabernet Franc,Ricominciare
Argentina,"Gritty, roasted berry aromas are rubbery and hint at Band-Aids. In the mouth, this is O.K. in feel, albeit a bit jammy and thick. Short, generic berry flavors come with minty accents and some green on the finish.",Trumpeter,84,11,Mendoza Province,Mendoza,Rutini 2012 Trumpeter Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Rutini
US,"Lemon curd and artificial butter show on the nose and palate, with underripe peach adding verve to a creamy body.",Church Creek Oak,84,18,Virginia,Virginia's Eastern Shore,Chatham 2012 Church Creek Oak Chardonnay (Virginia's Eastern Shore),Chardonnay,Chatham
US,"This full-throttle, oaky Chardonnay features an intriguingly curious mix of corn nuts, diesel and marijuana on the nose. The corresponding layers of flavor are straightforward and simple.",,84,20,California,Russian River Valley,McIlroy 2013 Chardonnay (Russian River Valley),Chardonnay,McIlroy
US,"Despite its single-vineyard designation, this watery effort could be from anywhere. Thin, dilute, barely ripe strawberry fruit vanishes quickly once in the mouth, and there is little trace of any barrel flavors from aging in 20% new French oak.",Guadalupe Vineyard,84,25,Oregon,Willamette Valley,Wildewood 2013 Guadalupe Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Wildewood
Italy,Fruity aromas that recall blueberry and pomegranate carry over to the lean palate along with brisk acidity.,,84,11,Sicily & Sardinia,Terre Siciliane,Vino dei Fratelli 2013 Nero d'Avola (Terre Siciliane),Nero d'Avola,Vino dei Fratelli
France,"Towards the dry end of the Pinot Gris spectrum, this is a crisp, apple and pear flavored wine that has a light character. It's fruity, crisp and ready to drink.",Réserve Particulière,84,15,Alsace,Alsace,Cave de Beblenheim 2013 Réserve Particulière Pinot Gris (Alsace),Pinot Gris,Cave de Beblenheim
France,"This wine has a light, fresh character to go with the ripe spiced fruits. It's smooth with a tangy lime-zest flavor filled out with yellow fruits. Drink now.",Anne de K,84,19,Alsace,Alsace,Cave de Kientzheim-Kaysersberg 2013 Anne de K Gewurztraminer (Alsace),Gewürztraminer,Cave de Kientzheim-Kaysersberg
Italy,The nose isn't very expressive but reveals white flower and tropical fruit. The simple palate delivers pineapple and lemon zest alongside brisk acidity.,Baglio del Sole,84,12,Sicily & Sardinia,Sicilia,Feudi del Pisciotto 2013 Baglio del Sole Inzolia (Sicilia),Inzolia,Feudi del Pisciotto
Spain,"Dusty aromas of red cherry are muddled by oaky notes of plastic and latex. A jumpy, bright palate is rudimentary, as are lightly spiced plum and raspberry flavors. A fresh, dry, basic finish seems appropriate.",Oak Aged,84,10,Central Spain,Vino de la Tierra de Castilla,Mureda 2012 Oak Aged Syrah (Vino de la Tierra de Castilla),Syrah,Mureda
Argentina,"Dry, spicy aromas aren't overly ripe or expressive. In the mouth, this basic Cab is raw, racy and spiky in feel. Flavors of herbal red-berry fruits are leafy, while finishing flavors of carob and pepper register as adequate.",Oak Cask Estate Bottled,84,10,Mendoza Province,Mendoza,San Felipe 2012 Oak Cask Estate Bottled Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,San Felipe
France,"Soft, floral and fruity, this is a rounded wine with a gentle texture, yellow fruits and light acidity. There is a good touch of spice to fill the wine out right at the end.",Tradition,84,8,Alsace,Alsace,Vieil Armand 2013 Tradition Pinot Blanc (Alsace),Pinot Blanc,Vieil Armand
US,"Underripe fruit seems more sour than anything. Some bitter, stemmy flavors creep into the finish.",,84,19,Oregon,Oregon,Wine by Joe 2013 Pinot Noir (Oregon),Pinot Noir,Wine by Joe
Portugal,"This wine looks and tastes bright pink. It is creamy, not quite dry and soft, although the aftertaste shows some fresh acidity. Crushed strawberry flavors suggest that it will pair well with fruit salad.",Basta Brut Rosé,84,20,Vinho Espumante,,Wine with Spirit NV Basta Brut Rosé Sparkling (Vinho Espumante),Portuguese Sparkling,Wine with Spirit
Portugal,"Made from Castelão, the local grape of the Setúbal region, this wine is as bright and clean as possible. The light texture makes it ideal for summer drinking.",Azul Portugal,84,11,Península de Setúbal,,Wines & Winemakers 2014 Azul Portugal Rosé (Península de Setúbal),Rosé,Wines & Winemakers
France,"The style is all perfume, recalling straightforward lychee and spice wine. It has a rounded texture, soft and medium sweet, and is ready to be enjoyed.",,84,23,Alsace,Alsace,Wunsch & Mann 2013 Gewurztraminer (Alsace),Gewürztraminer,Wunsch & Mann
US,"This is soft and easy in texture, light in flavors and slightly sweet. Light to medium bodied, it has very little tannin or astringency, is low in acidity and quiet on the finish.",HomeFront,84,15,California,California,Murphy-Goode 2012 HomeFront Red (California),Red Blend,Murphy-Goode
France,"This is light, fruity and fresh for a Gewurztraminer. A crisp character brings out bitter orange and ripe pear flavors. Drink now.",,84,19,Alsace,Alsace,Pierre Sparr 2013 Gewurztraminer (Alsace),Gewürztraminer,Pierre Sparr
France,There's no mistaking the grape in this spiced and peppery wine. Candy-shop aromas and bergamot flavors go together with a light acidity to create a wine that's drinkable now.,Bonheur Convivial,84,24,Alsace,Alsace,Rieflé 2013 Bonheur Convivial Gewurztraminer (Alsace),Gewürztraminer,Rieflé
US,"Amid the blackberry and asphalt tones, this has a funky rubber twist on the nose. The bottling is a side label of Avelina, founded by former Oreana Winery owner Christian Garvin. It's tart and sour on the palate, with dried raspberries and a bit more funk.",,84,15,California,Central Coast,Sands Point 2012 Pinot Noir (Central Coast),Pinot Noir,Sands Point
Argentina,"Dusty aromas of balloon rubber and apple juice are sketchy, but in the mouth this is fair and balanced. Flavors of lychee, mango candy and sweet papaya finish soft and lightly oxidized.",Sustainably Farmed,84,12,Mendoza Province,Mendoza,Árido 2013 Sustainably Farmed Moscato (Mendoza),Moscato,Árido
France,"This wine is all about perfumes and spice. It's ripe, fruity and already drinkable. Bergamot and fruity candy dominate the light acidity and soft texture.",,84,15,Alsace,Alsace,Arthur Metz 2013 Gewurztraminer (Alsace),Gewürztraminer,Arthur Metz
Spain,Melon and citrus aromas are yeasty and a bit sulfuric. This feels plump and juicy but not exact or well cut. Flavors of briny apple and nectarine turn bitter and salty on the finish.,El Gordo del Circo,84,17,Northern Spain,Rueda,Casa Rojo 2013 El Gordo del Circo Verdejo (Rueda),Verdejo,Casa Rojo
France,"This wine is soft, rounded and smooth. With just enough acidity to give a fresh character, it is ripe with pear and quince flavors. It's ready to drink, light and fragrant.",Prestige,84,16,Alsace,Alsace,Cave de Cleebourg 2013 Prestige Pinot Gris (Alsace),Pinot Gris,Cave de Cleebourg
France,"Produced from a number of parcels around the village of Katzenthal, this is a fresh and fruity wine, easy to drink. It's bright with acidity, flavored with ripe quince and apple fruits. It's ready to drink.",Cuvée Particulière,84,17,Alsace,Alsace,Jean-Marc Bernhard 2013 Cuvée Particulière Pinot Gris (Alsace),Pinot Gris,Jean-Marc Bernhard
Portugal,"This attractive blend of Chardonnay, Arinto and Vital is fresh, fruity, packed with apple and lemon flavors and totally ready to drink. There's a great line in acidity, a crisp texture and a green, lively aftertaste.",3 Castas,87,,Tejo,,Fiuza 2013 3 Castas White (Tejo),Portuguese White,Fiuza
US,"Made from Sangiovese, Cabernet Sauvignon and Zinfandel, this is one of Rock Wall's drier, lower-alcohol wines. It's high in acidity, with a silky mouthfeel. A little rustic, it shows cherry skin, tobacco and white pepper flavors.",Super Alamedan,87,25,California,California,Rock Wall 2012 Super Alamedan Red (California),Red Blend,Rock Wall
US,"Ready for drinking now with its raspberries, currants, persimmons and oak. The acidity is bright, and the finish is clean and spicy. Pair now with lamb dishes.",,87,38,California,Russian River Valley,Sanglier Cellars 2011 Pinot Noir (Russian River Valley),Pinot Noir,Sanglier Cellars
US,"It's a midnight-black wine, full-bodied and tannic, with immense black currant, grilled meat and black pepper flavors that finish bone dry. Already throwing some sediment, it will live for two decades, without gaining in complexity. Drink now–2025.",,87,28,California,Santa Barbara County,Santa Barbara Winery 2010 Petite Sirah (Santa Barbara County),Petite Sirah,Santa Barbara Winery
US,"Coming from the cool 2010 vintage, this 100% varietal wine doesn't quite seem to have fully ripened but still offers plenty of enjoyment with its savory notes of leafy herbs, olive and cherry. It's elegant in its styling with a fresh feel and a cinnamon-speckled finish.",,87,40,Oregon,Applegate Valley,Schmidt 2010 Cabernet Sauvignon (Applegate Valley),Cabernet Sauvignon,Schmidt
Italy,"This vibrant wine begins with aromas of apples, stone fruit and mineral. The savory palate offers ripe Bartlett pear, citrus and peach alongside bright acidity. It closes on a bitter almond note.",San Vigilio,87,,Lombardy,Lugana,Selva Capuzza 2012 San Vigilio  (Lugana),Turbiana,Selva Capuzza
Italy,"Spicy and savory, it offers aromas of white and black pepper along with raspberry, dark cherry and hints of bell pepper that carry over to the palate along with aggressive tannins. Drink 2015–2021.",,87,19,Northeastern Italy,Venezia Giulia,Tenuta Luisa 2011 Refosco (Venezia Giulia),Refosco,Tenuta Luisa
US,"Sourced from a single vineyard, this spent 17 months in French oak, 38% new. It's light and spicy, with pleasant fruit flavors of apple and pear.",Elton,87,45,Oregon,Eola-Amity Hills,Willamette Valley Vineyards 2011 Elton Chardonnay (Eola-Amity Hills),Chardonnay,Willamette Valley Vineyards
Chile,"Reedy berry aromas mixed with herbal notes set up a chunky, voluminous palate. Spicy flavors of olive, green herbs, tobacco and oak run alongside berry and plum fruit. On the finish, a resiny oak flavor and herbal notes meld then fade away. This is 55% Carmenère, 30% Petit Verdot and 15% Syrah.",Anke Blend 2 Carménère-Petit Verdot-Shiraz,87,15,Maipo Valley,,Santa Alicia 2010 Anke Blend 2 Carménère-Petit Verdot-Shiraz Red (Maipo Valley),Red Blend,Santa Alicia
France,"With touches of vanilla and caramel as well as ripe yellow fruits, this is a warm, generous Chardonnay. It has freshness from the citrus edge and a soft texture. Straightforward, it is an open and ready-to-drink wine.",,87,15,Burgundy,Mâcon-Villages,Louis Jadot 2012  Mâcon-Villages,Chardonnay,Louis Jadot
Chile,"A familiar Chilean mix of berry, plum, spice and herbal aromas feed into a lifted but prickly palate that supports roasted, earthy flavors of berry, cassis and olive. A racy, slightly rough finish is home to spicy, chocolaty flavors on top of residual herbal berry.",Gran Reserva Petit Verdot-Carmère-Cabernet Sauvignon,87,15,Maipo Valley,,Mancura 2010 Gran Reserva Petit Verdot-Carmère-Cabernet Sauvignon Red (Maipo Valley),Bordeaux-style Red Blend,Mancura
Italy,"Aromas of green apples, peach and citrus carry over to palate. The juicy flavors are accompanied by lively acidity that makes this wine very food friendly.",,87,9,Northeastern Italy,Vigneti delle Dolomiti,Mezzacorona 2013 Pinot Grigio (Vigneti delle Dolomiti),Pinot Grigio,Mezzacorona
Italy,"Aromas include white spring flowers, tropical fruit and a hint of graphite. The juicy palate offers green apples, white peach and melon alongside fresh acidity. Delicate almond marks the close.",Montunal,87,15,Lombardy,Lugana,Montonale 2012 Montunal  (Lugana),Turbiana,Montonale
Italy,"A fifty-fifty blend of Sangiovese and Syrah, this densely concentrated wine has aromas that suggest underbrush, wet leaves, black berries and prune. The palate delivers fleshy black cherry, raisin, black pepper, espresso, bitter dark chocolate and a sugary vanilla note alongside solid tannins. It's at its ideal drinking window so enjoy soon.",Memento,87,39,Tuscany,Toscana,Olivi 2008 Memento Red (Toscana),Red Blend,Olivi
US,"With brisk acidity, a bone-dry finish and some dusty tannins, this is an interesting Pinot Noir, with a silky texture and cherry jam, pomegranate and cranberry flavors that are ready to drink now.",Premium Limited Edition,87,25,California,Russian River Valley,Publix 2012 Premium Limited Edition Pinot Noir (Russian River Valley),Pinot Noir,Publix
Portugal,"Very Douro in its mineral texture and dry core, it also has a surround of ripe black fruits. It's concentrated and has some aging potential, although it can be drunk now.",Porrais,87,13,Douro,,Quinta de Porrais 2010 Porrais Red (Douro),Portuguese Red,Quinta de Porrais
Portugal,"Still young, it is full of spice from wood aging along with juicy black fruits. It is soft, dominated by black currant and acidity. Not for aging, it will be ready by the end of 2014.",,87,,Tejo,,Quinta do Casal Branco 2012 Red (Tejo),Portuguese Red,Quinta do Casal Branco
US,"Dry and tannic, this 100% Cab has flavors of herbs, blackberries and tea. It's a tough wine not showing generosity now. You can age for a couple years, but the tannins will outlast the fruit.",Reserve,87,45,California,Alexander Valley,Rodney Strong 2010 Reserve Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Rodney Strong
US,"This Syrah, Grenache and Mourvèdre blend shows hot alcohol and superripe flavors of blackberries, cassis, dark chocolate and raisins. It's a big, rich, thick wine that sticks to the gums, almost syrupy, but fully dry. Decant it and drink with stews, casseroles, barbecue.",Aurelio's Selection,87,35,California,Paso Robles,Star Angel by Montes 2009 Aurelio's Selection Red (Paso Robles),Rhône-style Red Blend,Star Angel by Montes
Italy,"Floral aromas of white spring flowers partner hints of pear and stone fruit. The juicy palate offers white peach, apple and green melon alongside a mineral note and fresh acidity.",Castello,87,15,Veneto,Soave Classico,Cantina del Castello 2013 Castello  (Soave Classico),White Blend,Cantina del Castello
Italy,"Subdued aromas recall Alpine wild flowers and lychee. The fresh, linear palate offers Golden Delicious apples and citrus notes with a hint of wax alongside crisp acidity.",Vom Stein,87,17,Northeastern Italy,Alto Adige,Castelfeder 2012 Vom Stein Pinot Bianco (Alto Adige),Pinot Bianco,Castelfeder
France,"A dense and rich, jammy Merlot that is full of black fruit and has an ultra-ripe feel. It is hardly Bordeaux, but it does hold attraction with its rich, full fruits and dense tannins. A smoke and bitter chocolate aftertaste suggests some firm extraction.",,87,22,Bordeaux,Fronsac,Château Magondeau 2010  Fronsac,Bordeaux-style Red Blend,Château Magondeau
Italy,There's a beautifully delicate nature to this wine that is evident in its pristine floral aromas and its feminine notes of raspberry and wild berry. Hints of smoke and tar appear at the end and the wine is tight and firm in the mouth. Don't worry about longevity; there's enough pulp and structure to guarantee a   long aging future ahead.,Sistaglia,92,,Piedmont,Barolo,Deltetto 2006 Sistaglia  (Barolo),Nebbiolo,Deltetto
France,"With 14 years age, this Champagne shows plenty of beautifully mature fruit. At the same time, its petrol and toast aromas and flavors are balanced by soft richness, a rounded citric and pear flavor and a gentle, ripe aftertaste.",Carte d'Or Brut 1.5 liters,92,,Champagne,Champagne,Drappier 1995 Carte d'Or Brut 1.5 liters  (Champagne),Champagne Blend,Drappier
France,"This is a balanced wine, moving easily between rich fruit and a tight mineral and grapefruit texture. There is a hint of toast to give extra weight. Worth aging for several years.",Millésime Exception Brut,92,70,Champagne,Champagne,Drappier 2002 Millésime Exception Brut  (Champagne),Champagne Blend,Drappier
US,"Earns a high score for sheer richness and decadance. Huge in blackberry, blueberry, cassis, dark chocolate, bacon, pepper and oak flavors, wrapped into big, velvety tannins. Impresses for its size, but is totally dry, and retains balance and elegance. Now–2015.",,92,25,California,Paso Robles,Falcone 2008 Syrah (Paso Robles),Syrah,Falcone
Italy,"Barolo Gramolere offers an attractive window onto the Nebbiolo grape with peek views at its inherent complexity and elegance. The wine opens with a ruby-garnet color and offers aromas of wild berry, white cherry, tar, licorice, hazelnut and ginger.",Gramolere,92,82,Piedmont,Barolo,Fratelli Alessandria 2006 Gramolere  (Barolo),Nebbiolo,Fratelli Alessandria
Italy,"Barolo Bricco delle Viole is a lush and generous wine with a bright ruby color and attractively intense aromas of cherry, wild berry, nutmeg, clove, powdered licorice and root beer. The oak influence is still obvious at this early stage, but will no doubt integrate with time. The mouthfeel is exceedingly soft, smooth and velvety. You don't need to wait too many years before uncorking this bottle.",Bricco delle Viole,92,75,Piedmont,Barolo,G D Vajra 2006 Bricco delle Viole  (Barolo),Nebbiolo,G D Vajra
Italy,"Very different from the Bricco delle Viole cru expression from the same producer, this wine offers bold, ripe fruit with lingering tones of red cherry, leather, charcoal and campfire. The fruit is thick and succulent and the finish offers sweet, succulent spice flavors. Multiple U.S. importers.",Luigi Baudana Cerretta,92,85,Piedmont,Barolo,G D Vajra 2006 Luigi Baudana Cerretta  (Barolo),Nebbiolo,G D Vajra
Italy,"This Barolo with the vocally challenging name Pichemej reveals a dark and moody side that is reinforced by aromas of black fruit, plum, pressed rose, tar and asphalt. There's a textured, earthy quality here followed by firmly drying tannins. Pair this wine with tender beef ribs.",Pichemej,92,,Piedmont,Barolo,Gian Piero Marrone 2006 Pichemej  (Barolo),Nebbiolo,Gian Piero Marrone
Italy,"This Barolo exhibits sweet aromas of berry fruit, Christmas spice and vanilla. It's a bold, confident wine with a smooth but firm quality in the mouth that hits all the right marks. Pair this Barolo with marinated lamb and dried fig jelly.",Camilla,92,,Piedmont,Barolo,Grimaldi Bruna 2006 Camilla  (Barolo),Nebbiolo,Grimaldi Bruna
Austria,"From slate and limestone vineyards, this is an intense wine, full of tropical fruit flavors, spice, toast and hints of ginger. The wine rolls richly around the mouth, a gorgeous, opulent texture.",Tatschler,92,,Burgenland,,Kollwentz 2008 Tatschler Chardonnay (Burgenland),Chardonnay,Kollwentz
Austria,"Very rich in texture while also balanced, this is a wine that shows extreme concentration—honey, yellow fruits and final sugar all wrapped in lively acidity.",Beerenauslese 375ml,92,40,Niederösterreich,,Zull 2006 Beerenauslese 375ml Riesling (Niederösterreich),Riesling,Zull
Austria,"Intense acidity, with the sweetness held in check by a bright, crisp character. Rich honey is balanced by an exquisite freshness, lightly perfumed, so clean and clear in final taste.",Eiswein 375ml,92,40,Niederösterreich,,Zull 2008 Eiswein 375ml Riesling (Niederösterreich),Riesling,Zull
Austria,"Both crisp and rich, a magical combination with beautiful acidity, light currants, the whole wine infused with honey. The final acidity leaves a long-lasting aftertaste.",Eiswein 375ml,92,35,Niederösterreich,,Norbert Bauer 2008 Eiswein 375ml Grüner Veltliner (Niederösterreich),Grüner Veltliner,Norbert Bauer
US,"A beautifully accessible wine, polished, pretty and likeable now for its gentle texture and silky tannins. The sweet cherry and raspberry fruit is encircled with a coat of fancy smoked oak. Made from 100% Cabernet, the wine is balanced enough to gain bottle complexity for a decade.",,92,48,California,Rutherford,Sawyer 2007 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Sawyer
US,"Here's a powerful Cabernet Sauvignon, ripe and opulent, offering summer blackberry, sour cherry candy, currant, dried herb and rose petal aromas and flavors. The addition of 21% Merlot brings a candied softness, but it's still pretty tannic, and wants 4–5 years in the cellar.",Estate,92,55,California,Rutherford,Sullivan 2007 Estate Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Sullivan
Italy,"Here's a very attractive and seductive Barolo with chiseled mineral tones that really help the wine stand out in a crowd. Layers of graphite and slate give purity, linearity and clarity to this austere and elegant expression. Earthy tones, as well as forest berry flavors, appear on the long finish.",Costa di Bussia,92,50,Piedmont,Barolo,Tenuta Arnulfo 2006 Costa di Bussia  (Barolo),Nebbiolo,Tenuta Arnulfo
Italy,"Founded in 1986, Tenuta Rocca is a hilltop property in Monforte d'Alba that overlooks some of the most beautiful landscapes in the Langhe. This wonderful Barolo opens with sweet smells of candle wax, nutmeg, ginger, chocolate and bright red fruit. The wine imparts a squeaky clean, polished feel in the mouth.",,92,48,Piedmont,Barolo,Tenuta Rocca 2006  Barolo,Nebbiolo,Tenuta Rocca
Italy,"Mario Battaglio offers a truly fantastic expression of Nebbiolo from the hot 2007 vintage that is packed tight with intensity and larger than life aromatic opulence. In a surprise twist, the wine also boasts a feminine side thanks to delicate aromas of wild flowers, licorice and light graphite or mineral shadings.",,92,,Piedmont,Barbaresco,Battaglio 2007  Barbaresco,Nebbiolo,Battaglio
Italy,"Barolo Bricco Rocca still needs a few more years in the cellar to allow for full integrations of its spice, fruit, tobacco and mineral components. This beautiful wine is ripe with potential and the mouthfeel is plush and velvety with a wonderful fade of smoke and black fruit. Drink after 2018.",Bricco Rocca,92,,Piedmont,Barolo,Cascina Ballarin 2006 Bricco Rocca  (Barolo),Nebbiolo,Cascina Ballarin
Italy,"Here's a wine that begs a pairing with a truffle dish: black truffle Cornish hen or creamy risotto with white truffle flakes would do the trick. Cannubi San Lorenzo's aromas include spice, cherry, cola, white licorice, white mushroom and smoked ham. This is a beautiful wine with a firm, determined but elegant finish.",Cannubi San Lorenzo,92,,Piedmont,Barolo,Cavalier Bartolomeo 2006 Cannubi San Lorenzo  (Barolo),Nebbiolo,Cavalier Bartolomeo
Italy,"Here's a vineyard-designate Barolo Riserva with pristine aromas of cherry, wild berry, smoke, tar, licorice and leather. The streamlined mouthfeel is polished yet firm, and the wine offers a long fade of cherry and spice flavors.",Bricco Boschis Riserva Vigna San Giuseppe,92,,Piedmont,Barolo,Cavallotto 2004 Bricco Boschis Riserva Vigna San Giuseppe  (Barolo),Nebbiolo,Cavallotto
Italy,"The prized Cannubi cru offers fruit that is interpreted by some of the finest winemakers in northern Italy. This expression from the dynamic Damilano winery is characterized by tight tannins, power, personality and ripe berry flavors. Pair this Barolo with risotto topped with thinly shaved truffles.",Cannubi,92,76,Piedmont,Barolo,Damilano 2006 Cannubi  (Barolo),Nebbiolo,Damilano
Italy,"Very different than the 2005 vintage, Barolo Le Coste from Giacomo Grimaldi opens with a brownish-amber color and ripe berry or candied fruit aromas. There are beautifully fine aromas of tar, asphalt and licorice in the background that help balance it out. A Marc de Grazia selection; various American importers.",Le Coste,92,,Piedmont,Barolo,Giacomo Grimaldi 2006 Le Coste  (Barolo),Nebbiolo,Giacomo Grimaldi
US,"This brilliant Sauvignon Blanc should be scooped up by sommeliers. It's exceptionally dry and tart in citrusy acids, with a mineral scour that's perfect for shellfish or savory appetizers. The flavors are of lemons, limes, gooseberries and white pepper. Beautiful and compelling.",,91,17,California,Napa Valley,Broman 2008 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Broman
France,"From 100% grand cru Chardonnay vineyards in the Côte des Blancs, this is a rich but almost bone-dry wine. It has a great mineral character that offers freshness, apple skins and a flinty edge. The disgorgement date is indicated on the bottle. Impressive, this would benefit from six months' aging.",Réserve Blanc de Blancs Brut,91,60,Champagne,Champagne,De Sousa & Fils NV Réserve Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,De Sousa & Fils
US,"From a cool part of the valley, this wine is marked by fresh acids that give it a grapey jamminess. It's very rich in black cherries, black raspberries and toast, and very dry. Feels sharp and angular now. Give it through 2010 to calm down.",Dutton Ranch-Freestone Hill Vineyard,91,58,California,Russian River Valley,Dutton-Goldfield 2007 Dutton Ranch-Freestone Hill Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Dutton-Goldfield
US,"A beautiful Gewürz that could get more people to drink this Alsatian variety. It's dry and crisp, with rich flavors of citrus and tropical fruits, honeysuckle flowers, lychee nuts, vanilla and Asian spices.",Dutton Ranch-Green Valley Vineyard,90,25,California,Green Valley,Dutton-Goldfield 2008 Dutton Ranch-Green Valley Vineyard Gewürztraminer (Green Valley),Gewürztraminer,Dutton-Goldfield
